Sl No,State / U.T.,2012 - Deaths,2013 - Deaths,2014(Prov ) - Deaths,2015(Prov.) - Deaths,2015(Prov.) - Reference Period Jan 15 upto
1,Andhra Prad.,0,0,0,0,"August,15"
2,Arun. Prad.,0,0,0,0,"September,15"
3,Assam,0,0,0,0,"September,15 exc Mar"
4,Bihar,0,0,0,0,"October,15"
5,Chhattisgarh,0,0,0,0,"October,15 exc feb"
6,Goa,0,0,0,0,"July, 15"
7,Gujarat,0,1,0,0,"October,15"
8,Haryana,0,0,0,0,"October,15"
9,Himachal Prd.,0,0,0,0,"September,15"
10,J & K,0,0,0,0,"October,15"
11,Jharkhand,0,0,0,0,"October,15 exc May to July"
12,Karnataka,0,0,0,2,"October,15"
13,Kerala,1,0,0,0,"October,15"
14,Madhya Prad.,0,0,0,0,"Oct,15 exc June, Aug, Sep"
15,Maharashtra,0,1,2,0,"October,15 exc Mar"
16,Manipur,0,0,0,0,"September,15"
17,Meghalaya,0,0,1,0,"June, 15"
18,Mizoram,0,0,0,0,"October,15"
19,Nagaland,0,0,0,0,"October,15"
20,Odisha,0,0,0,0,"October,15"
21,Punjab,0,0,0,0,"October,15"
22,Rajasthan,0,0,0,0,"Oct,15 exc May, Aug, Sep"
23,Sikkim,0,0,0,0,"September,15"
24,Tamil Nadu,0,3,0,0,"October,15"
25,Tripura,0,0,0,0,"September,15 exc Apr"
26,Uttarakhand,0,0,0,0,"September,15"
27,Uttar Pradesh,0,0,0,0,"October,15"
28,West Bengal,0,0,0,0,"October,15 exc Jul, Aug"
29,A & N Islands,0,0,0,0,"August,15 exc Feb, May"
30,Chandigarh,0,0,1,0,"August,15 exc Aug"
31,D & N Haveli,0,0,1,1,"October, 15 exc Aug"
32,Daman & Diu,0,0,0,0,"October,15 exc Mar, Apr"
33,Delhi,0,0,0,0,"August,15"
34,Lakshadweep,0,0,0,0,"September,15"
35,Puducherry,0,0,0,0,"September,15"
Total,Total,1,5,5,3,NA
